training_id,client_id,certificate_number,training_title,category,duration_hours,start_date,end_date,training_status,review_count,approved_review_count,rejected_review_count,pending_review_count,approved_review_ratio,avg_review_rating,attendance_rate,completion_rate,assignment_avg,exam_score,engagement_score,practice_quiz_avg,days_until_exam,missed_sessions,prior_certifications,certificate_score,grade,issue_date,expiry_date,certificate_status,issue_probability,is_issued
168,1168,CERT-2026-00168,Cloud Bootcamp 168,Cloud,41,2026-03-03,2026-03-13,COMPLETED,7,4,1,2,0.56,4.2,0.9,0.89,,65.9,63.8,62.5,6,2,3,64.9,D,2026-04-02,2027-04-02,ISSUED,0.6611,1
170,1170,CERT-2026-00170,Data Science Bootcamp 170,Data Science,72,2026-03-08,2026-03-26,COMPLETED,6,5,1,0,0.85,4.7,0.99,0.94,75.8,93.1,93.0,100.0,9,1,4,91.0,A,2026-03-31,2027-03-31,ISSUED,0.9385,1
171,1171,CERT-2026-00171,Cybersecurity Bootcamp 171,Cybersecurity,62,2025-10-04,2025-10-20,COMPLETED,11,9,1,1,0.79,,0.91,0.94,56.5,70.0,63.6,44.2,5,0,0,64.1,D,2025-10-24,2026-10-24,ISSUED,0.6505,1
172,1172,CERT-2026-00172,Cybersecurity Bootcamp 172,Cybersecurity,57,2025-11-12,2025-11-26,COMPLETED,3,1,1,1,0.29,3.8,0.66,0.98,62.1,71.6,52.1,59.5,10,2,2,64.3,D,,,PENDING,0.2774,0
179,1179,CERT-2026-00179,UI/UX Bootcamp 179,UI/UX,55,2025-11-03,2025-11-17,COMPLETED,5,3,1,1,0.59,3.7,1.0,0.94,81.8,90.5,94.9,83.1,2,0,3,89.0,B,2025-11-20,2026-11-20,ISSUED,0.8797,1
181,1181,CERT-2026-00181,Cloud Bootcamp 181,Cloud,33,2025-11-04,2025-11-12,COMPLETED,4,3,0,1,0.71,5.0,0.86,1.0,75.0,92.4,89.0,92.3,6,2,2,87.4,B,,,PENDING,0.6822,0
182,1182,CERT-2026-00182,Web Development Bootcamp 182,Web Development,51,2025-12-23,2026-01-05,COMPLETED,11,5,4,2,0.42,4.3,0.88,0.96,47.2,78.9,35.6,67.2,11,3,1,64.9,D,,,PENDING,0.3512,0
183,1183,CERT-2026-00183,Cloud Bootcamp 183,Cloud,57,2026-01-03,2026-01-17,COMPLETED,10,5,1,4,0.53,3.8,1.0,0.94,71.6,77.4,76.3,57.2,3,1,0,75.0,C,2026-01-19,2027-01-19,ISSUED,0.5964,1
185,1185,CERT-2026-00185,Web Development Bootcamp 185,Web Development,65,2026-01-19,2026-02-04,COMPLETED,11,11,0,0,0.96,5.0,1.0,0.93,87.1,89.6,100.0,85.2,4,1,2,90.8,A,2026-02-17,2027-02-17,ISSUED,0.9404,1
188,1188,CERT-2026-00188,Cybersecurity Bootcamp 188,Cybersecurity,36,2026-02-15,2026-02-24,COMPLETED,5,4,0,1,0.72,4.0,0.89,0.85,62.4,83.0,54.4,69.9,8,2,2,73.0,C,2026-03-10,2027-03-10,ISSUED,0.7007,1
190,1190,CERT-2026-00190,Mobile Bootcamp 190,Mobile,31,2025-11-16,2025-11-24,COMPLETED,6,4,1,1,0.59,3.6,0.95,0.8,81.9,89.0,87.7,48.8,0,1,2,81.4,B,,,PENDING,0.7241,0
191,1191,CERT-2026-00191,Mobile Bootcamp 191,Mobile,33,2026-01-17,2026-01-25,COMPLETED,9,8,0,1,0.9,,0.77,0.89,38.7,50.1,72.9,28.7,7,1,1,50.1,F,,,REVOKED,0.0511,0
192,1192,CERT-2026-00192,Cloud Bootcamp 192,Cloud,26,2025-12-21,2025-12-27,COMPLETED,7,6,0,1,0.85,4.7,0.75,0.9,51.2,52.0,40.0,31.8,8,2,2,49.2,F,,,REVOKED,0.2717,0
193,1193,CERT-2026-00193,UI/UX Bootcamp 193,UI/UX,15,2025-11-29,2025-12-03,COMPLETED,10,5,2,3,0.48,3.8,0.82,0.99,47.1,53.9,53.0,52.2,0,1,1,54.8,F,,,REVOKED,0.2105,0
196,1196,CERT-2026-00196,Cybersecurity Bootcamp 196,Cybersecurity,57,2026-01-24,2026-02-07,COMPLETED,8,4,3,1,0.48,3.7,0.86,0.91,75.1,60.8,60.5,59.2,3,0,4,66.2,D,2026-02-09,2027-02-09,ISSUED,0.8273,1
198,1198,CERT-2026-00198,Web Development Bootcamp 198,Web Development,44,2025-12-22,2026-01-02,COMPLETED,8,7,0,1,0.91,4.2,1.0,1.0,82.3,100.0,95.8,91.8,1,2,2,94.2,A,2026-01-22,2027-01-22,ISSUED,0.7391,1
200,1200,CERT-2026-00200,Cybersecurity Bootcamp 200,Cybersecurity,51,2025-10-23,2025-11-05,COMPLETED,7,5,1,1,0.72,4.8,1.0,0.91,67.6,94.1,41.5,63.3,8,2,2,76.6,C,2025-11-25,2026-11-25,ISSUED,0.7279,1
201,1201,CERT-2026-00201,Web Development Bootcamp 201,Web Development,36,2025-11-12,2025-11-21,COMPLETED,5,3,1,1,0.64,4.0,0.79,0.88,42.0,46.9,67.6,15.0,6,2,0,46.8,F,,,REVOKED,0.0397,0
202,1202,CERT-2026-00202,Data Science Bootcamp 202,Data Science,45,2025-10-09,2025-10-20,COMPLETED,9,6,2,1,0.61,3.9,0.98,0.79,71.5,63.2,75.4,83.0,8,0,3,73.4,C,2025-11-05,2026-11-05,ISSUED,0.69,1
204,1204,CERT-2026-00204,Web Development Bootcamp 204,Web Development,70,2025-11-19,2025-12-07,COMPLETED,8,4,2,2,0.55,,0.97,0.96,58.6,57.7,76.5,,3,1,2,64.0,D,2025-12-09,2026-12-09,ISSUED,0.5596,1
206,1206,CERT-2026-00206,Mobile Bootcamp 206,Mobile,36,2026-02-23,2026-03-04,COMPLETED,5,3,1,1,0.65,4.8,0.82,0.96,65.5,57.5,78.6,55.6,5,0,1,64.4,D,2026-03-16,2027-03-16,ISSUED,0.5211,1
207,1207,CERT-2026-00207,Mobile Bootcamp 207,Mobile,42,2025-10-21,2025-10-31,COMPLETED,9,6,2,1,0.67,2.9,0.88,0.98,83.8,90.5,60.3,68.0,7,1,1,80.9,B,2025-11-14,2026-11-14,ISSUED,0.8389,1
208,1208,CERT-2026-00208,Mobile Bootcamp 208,Mobile,40,2026-02-17,2026-02-27,COMPLETED,9,2,4,3,0.21,2.9,0.66,0.86,42.2,48.0,40.2,47.8,0,2,0,47.4,F,,,REVOKED,0.0301,0
209,1209,CERT-2026-00209,Web Development Bootcamp 209,Web Development,59,2025-12-28,2026-01-12,COMPLETED,11,9,1,1,0.8,5.0,0.85,0.93,92.9,89.0,86.4,94.0,7,0,1,89.9,B,2026-01-19,2027-01-19,ISSUED,0.6924,1
210,1210,CERT-2026-00210,Web Development Bootcamp 210,Web Development,31,2025-11-27,2025-12-05,COMPLETED,7,2,2,3,0.33,3.5,0.62,0.84,45.9,46.1,37.0,22.2,6,2,0,42.5,F,,,REVOKED,0.0178,0
211,1211,CERT-2026-00211,Data Science Bootcamp 211,Data Science,67,2026-02-17,2026-03-06,COMPLETED,8,5,1,2,0.65,3.4,0.62,0.9,25.0,43.3,39.2,36.5,0,2,1,39.5,F,,,REVOKED,0.0678,0
212,1212,CERT-2026-00212,Cloud Bootcamp 212,Cloud,52,2025-12-15,2025-12-28,COMPLETED,7,5,1,1,0.73,3.9,1.0,1.0,73.9,94.0,44.3,88.5,5,1,1,82.3,B,2026-01-11,2027-01-11,ISSUED,0.8562,1
216,1216,CERT-2026-00216,Web Development Bootcamp 216,Web Development,64,2026-02-26,2026-03-14,COMPLETED,9,6,2,1,0.62,3.0,0.8,0.9,64.5,75.3,43.0,49.5,1,1,2,64.7,D,,,PENDING,0.3762,0
218,1218,CERT-2026-00218,UI/UX Bootcamp 218,UI/UX,33,2025-11-08,2025-11-16,COMPLETED,13,8,3,2,0.63,,0.88,0.94,71.3,81.2,71.3,50.9,13,1,0,73.5,C,,,PENDING,0.3004,0
219,1219,CERT-2026-00219,Data Science Bootcamp 219,Data Science,53,2025-12-04,2025-12-17,COMPLETED,6,4,1,1,0.69,5.0,0.91,0.85,78.0,60.1,82.0,66.9,2,1,0,71.3,C,2025-12-19,2026-12-19,ISSUED,0.7118,1
220,1220,CERT-2026-00220,Mobile Bootcamp 220,Mobile,42,2025-10-15,2025-10-25,COMPLETED,12,9,1,2,0.75,4.5,0.92,0.87,84.2,75.8,90.1,,4,0,2,77.9,C,2025-10-31,2026-10-31,ISSUED,0.7022,1
221,1221,CERT-2026-00221,Web Development Bootcamp 221,Web Development,36,2025-12-01,2025-12-10,COMPLETED,13,10,2,1,0.75,4.2,0.85,0.97,55.0,91.5,55.5,66.5,6,2,1,73.8,C,2025-12-26,2026-12-26,ISSUED,0.6084,1
222,1222,CERT-2026-00222,Web Development Bootcamp 222,Web Development,48,2026-01-13,2026-01-25,COMPLETED,7,5,1,1,0.73,,0.92,1.0,91.7,100.0,100.0,94.3,5,0,0,96.5,A,2026-02-01,2027-02-01,ISSUED,0.9708,1
223,1223,CERT-2026-00223,UI/UX Bootcamp 223,UI/UX,27,2025-12-06,2025-12-13,COMPLETED,9,6,1,2,0.63,4.3,0.88,0.88,70.3,62.0,84.8,57.1,7,0,1,68.8,D,2025-12-24,2026-12-24,ISSUED,0.5673,1
224,1224,CERT-2026-00224,Data Science Bootcamp 224,Data Science,69,2026-01-13,2026-01-30,COMPLETED,11,5,4,2,0.48,3.6,1.0,0.85,73.5,75.6,71.2,100.0,0,0,1,80.9,B,2026-02-05,2027-02-05,ISSUED,0.7042,1
225,1225,CERT-2026-00225,UI/UX Bootcamp 225,UI/UX,36,2026-01-22,2026-01-31,COMPLETED,8,7,1,0,0.92,3.8,0.93,0.9,65.9,65.8,77.1,88.0,7,2,1,73.7,C,2026-02-12,2027-02-12,ISSUED,0.683,1
226,1226,CERT-2026-00226,Web Development Bootcamp 226,Web Development,47,2025-11-29,2025-12-11,COMPLETED,8,3,3,2,0.42,2.9,0.79,1.0,63.8,77.2,71.0,73.7,17,1,2,73.0,C,,,PENDING,0.6998,0
229,1229,CERT-2026-00229,Web Development Bootcamp 229,Web Development,37,2025-11-23,2025-12-02,COMPLETED,5,3,1,1,0.51,3.7,0.9,0.97,61.9,71.2,69.4,72.4,9,1,2,71.0,C,2025-12-06,2026-12-06,ISSUED,0.5044,1
230,1230,CERT-2026-00230,Data Science Bootcamp 230,Data Science,60,2026-03-17,2026-04-01,COMPLETED,9,5,3,1,0.58,3.6,0.63,0.88,25.0,43.5,48.2,52.0,1,1,0,43.4,F,,,REVOKED,0.1597,0
231,1231,CERT-2026-00231,Cybersecurity Bootcamp 231,Cybersecurity,48,2026-01-19,2026-01-31,COMPLETED,8,6,1,1,0.79,3.9,0.88,0.89,57.8,65.3,55.2,57.7,6,1,0,63.3,D,,,PENDING,0.4061,0
233,1233,CERT-2026-00233,Web Development Bootcamp 233,Web Development,44,2026-03-29,2026-04-09,COMPLETED,11,4,4,3,0.38,3.6,1.0,1.0,,100.0,79.3,93.3,2,2,0,85.9,B,,,PENDING,0.6699,0
235,1235,CERT-2026-00235,Data Science Bootcamp 235,Data Science,65,2026-03-08,2026-03-24,COMPLETED,7,3,2,2,0.46,3.1,0.96,0.9,44.5,48.6,82.7,40.5,6,1,0,55.9,F,,,REVOKED,0.0618,0
236,1236,CERT-2026-00236,Data Science Bootcamp 236,Data Science,59,2025-11-14,2025-11-29,COMPLETED,9,6,2,1,0.68,4.1,0.83,0.86,39.6,57.9,45.5,62.2,4,3,6,55.3,F,2025-12-18,2026-12-18,ISSUED,0.3818,1
238,1238,CERT-2026-00238,UI/UX Bootcamp 238,UI/UX,39,2025-11-16,2025-11-26,COMPLETED,13,12,0,1,0.89,3.4,0.77,0.96,63.5,92.0,36.1,75.2,8,1,3,73.7,C,,,PENDING,0.6331,0
241,1241,CERT-2026-00241,Cloud Bootcamp 241,Cloud,31,2025-12-26,2026-01-03,COMPLETED,8,5,1,2,0.63,3.3,0.85,0.82,80.6,68.3,75.2,84.0,0,1,0,76.2,C,2026-01-22,2027-01-22,ISSUED,0.5088,1
242,1242,CERT-2026-00242,Cloud Bootcamp 242,Cloud,50,2026-02-07,2026-02-19,COMPLETED,6,4,1,1,0.59,3.2,0.84,0.97,55.9,84.4,58.2,,10,0,2,69.7,D,2026-02-21,2027-02-21,ISSUED,0.6295,1
243,1243,CERT-2026-00243,UI/UX Bootcamp 243,UI/UX,39,2026-02-06,2026-02-16,COMPLETED,8,6,1,1,0.73,4.5,0.76,0.87,68.7,61.1,48.9,66.6,4,1,2,63.4,D,2026-02-25,2027-02-25,ISSUED,0.44,1
246,1246,CERT-2026-00246,Cybersecurity Bootcamp 246,Cybersecurity,52,2026-03-15,2026-03-28,COMPLETED,12,5,3,4,0.38,3.7,0.92,0.86,53.1,67.3,42.8,53.2,7,0,3,61.0,D,,,PENDING,0.2632,0
247,1247,CERT-2026-00247,Cybersecurity Bootcamp 247,Cybersecurity,56,2025-10-15,2025-10-29,COMPLETED,8,4,2,2,0.46,4.0,0.92,0.91,55.7,61.7,65.4,54.5,6,1,1,62.8,D,,,PENDING,0.4627,0
248,1248,CERT-2026-00248,Cybersecurity Bootcamp 248,Cybersecurity,38,2025-12-12,2025-12-22,COMPLETED,13,6,5,2,0.45,2.5,0.91,0.91,64.2,76.8,65.8,,5,3,3,70.4,C,,,PENDING,0.4051,0
250,1250,CERT-2026-00250,UI/UX Bootcamp 250,UI/UX,38,2026-01-13,2026-01-23,COMPLETED,11,5,2,4,0.49,4.7,0.85,0.97,87.5,52.6,73.1,74.4,1,2,3,69.9,D,,,PENDING,0.2166,0
253,1253,CERT-2026-00253,Web Development Bootcamp 253,Web Development,41,2025-11-20,2025-11-30,COMPLETED,5,3,1,1,0.64,4.5,1.0,0.86,73.7,90.7,59.4,66.8,0,1,0,79.7,C,2025-12-19,2026-12-19,ISSUED,0.7767,1
255,1255,CERT-2026-00255,Web Development Bootcamp 255,Web Development,47,2026-02-13,2026-02-25,COMPLETED,7,5,1,1,0.73,4.4,1.0,0.98,76.8,78.8,71.4,87.4,1,0,3,80.8,B,2026-03-06,2027-03-06,ISSUED,0.9256,1
257,1257,CERT-2026-00257,UI/UX Bootcamp 257,UI/UX,35,2025-12-24,2026-01-02,COMPLETED,7,5,1,1,0.69,3.8,0.9,0.89,46.0,73.4,67.0,55.6,1,0,0,65.3,D,2026-01-13,2027-01-13,ISSUED,0.4228,1
262,1262,CERT-2026-00262,Mobile Bootcamp 262,Mobile,43,2026-02-26,2026-03-09,COMPLETED,8,3,2,3,0.42,3.4,0.81,0.96,66.3,53.9,53.6,48.0,8,1,0,58.4,F,,,PENDING,0.0398,0
265,1265,CERT-2026-00265,Cybersecurity Bootcamp 265,Cybersecurity,60,2026-02-28,2026-03-15,COMPLETED,7,5,1,1,0.78,4.0,0.65,0.94,48.3,49.0,30.6,49.5,0,4,0,48.0,F,,,REVOKED,0.0118,0
266,1266,CERT-2026-00266,Web Development Bootcamp 266,Web Development,40,2026-01-25,2026-02-04,COMPLETED,8,6,1,1,0.76,4.2,0.95,0.96,82.7,91.3,59.0,63.5,4,3,1,80.8,B,2026-02-18,2027-02-18,ISSUED,0.735,1
267,1267,CERT-2026-00267,Cybersecurity Bootcamp 267,Cybersecurity,47,2026-03-17,2026-03-29,COMPLETED,8,4,1,3,0.51,3.1,0.64,0.9,36.7,44.3,10.0,29.5,6,2,1,37.4,F,,,REVOKED,0.0204,0
269,1269,CERT-2026-00269,Web Development Bootcamp 269,Web Development,35,2025-12-28,2026-01-06,COMPLETED,9,8,1,0,0.93,5.0,0.8,0.87,82.1,64.0,75.2,73.7,0,1,2,72.7,C,2026-01-16,2027-01-16,ISSUED,0.8669,1
271,1271,CERT-2026-00271,Cloud Bootcamp 271,Cloud,58,2025-12-19,2026-01-02,COMPLETED,8,6,1,1,0.7,4.7,1.0,0.92,97.8,100.0,91.1,97.2,2,2,1,97.8,A,2026-01-05,2027-01-05,ISSUED,0.9322,1
272,1272,CERT-2026-00272,Data Science Bootcamp 272,Data Science,65,2025-11-20,2025-12-06,COMPLETED,9,8,0,1,0.91,4.2,0.96,1.0,83.4,73.7,70.0,77.1,6,0,0,78.1,C,,,PENDING,0.4795,0
276,1276,CERT-2026-00276,UI/UX Bootcamp 276,UI/UX,26,2025-10-16,2025-10-22,COMPLETED,12,7,3,2,0.61,3.8,0.73,0.81,58.6,71.0,72.1,37.9,1,2,1,63.3,D,,,PENDING,0.14,0
278,1278,CERT-2026-00278,Web Development Bootcamp 278,Web Development,22,2026-03-10,2026-03-16,COMPLETED,8,4,2,2,0.48,3.9,0.87,0.93,53.5,64.4,59.6,49.8,5,1,1,61.3,D,,,PENDING,0.041,0
279,1279,CERT-2026-00279,Cybersecurity Bootcamp 279,Cybersecurity,49,2026-03-21,2026-04-02,COMPLETED,6,4,1,1,0.65,4.5,0.78,0.95,41.1,49.2,46.0,73.2,6,4,2,53.7,F,,,REVOKED,0.118,0
282,1282,CERT-2026-00282,Mobile Bootcamp 282,Mobile,46,2025-11-24,2025-12-06,COMPLETED,11,6,2,3,0.55,4.3,0.8,0.9,50.9,80.9,65.7,70.0,0,2,0,70.3,C,2025-12-27,2026-12-27,ISSUED,0.7111,1
283,1283,CERT-2026-00283,UI/UX Bootcamp 283,UI/UX,35,2026-01-09,2026-01-18,COMPLETED,10,7,2,1,0.65,4.0,0.78,0.96,43.0,83.3,52.0,54.0,0,3,0,64.8,D,,,PENDING,0.2922,0
284,1284,CERT-2026-00284,Cloud Bootcamp 284,Cloud,69,2025-12-13,2025-12-30,COMPLETED,10,10,0,0,0.97,4.8,0.98,1.0,68.5,74.8,89.7,48.0,1,1,0,73.5,C,,,PENDING,0.3143,0
287,1287,CERT-2026-00287,Web Development Bootcamp 287,Web Development,57,2026-02-09,2026-02-23,COMPLETED,6,3,2,1,0.53,3.4,0.95,0.91,55.5,66.9,61.3,57.8,0,0,1,65.0,D,,,PENDING,0.3351,0
288,1288,CERT-2026-00288,Cybersecurity Bootcamp 288,Cybersecurity,39,2025-10-29,2025-11-08,COMPLETED,6,4,1,1,0.64,3.4,1.0,0.87,66.6,78.0,86.6,63.7,0,0,2,76.6,C,2025-11-23,2026-11-23,ISSUED,0.7075,1
289,1289,CERT-2026-00289,Web Development Bootcamp 289,Web Development,41,2026-02-11,2026-02-21,COMPLETED,5,3,1,1,0.62,4.9,1.0,0.85,,95.0,98.6,71.3,11,2,5,83.2,B,2026-03-11,2027-03-11,ISSUED,0.8868,1
290,1290,CERT-2026-00290,Mobile Bootcamp 290,Mobile,32,2026-03-27,2026-04-04,COMPLETED,4,3,0,1,0.67,5.0,0.99,0.93,62.8,79.3,100.0,68.5,4,0,1,78.8,C,2026-04-18,2027-04-18,ISSUED,0.8721,1
291,1291,CERT-2026-00291,UI/UX Bootcamp 291,UI/UX,21,2026-01-11,2026-01-16,COMPLETED,6,3,1,2,0.5,3.5,1.0,0.95,91.8,76.8,87.5,100.0,0,1,2,87.6,B,2026-02-06,2027-02-06,ISSUED,0.6945,1
293,1293,CERT-2026-00293,UI/UX Bootcamp 293,UI/UX,31,2025-11-19,2025-11-27,COMPLETED,6,5,0,1,0.77,5.0,0.86,0.91,32.9,57.0,63.4,67.8,0,3,1,57.2,F,2025-12-13,2026-12-13,ISSUED,0.3182,1
294,1294,CERT-2026-00294,Mobile Bootcamp 294,Mobile,27,2025-12-11,2025-12-18,COMPLETED,2,1,0,1,0.32,3.2,0.85,0.77,54.0,57.6,28.5,73.1,2,0,1,58.0,F,,,PENDING,0.4123,0
296,1296,CERT-2026-00296,Cybersecurity Bootcamp 296,Cybersecurity,49,2026-03-04,2026-03-16,COMPLETED,11,7,2,2,0.6,3.8,0.94,0.89,88.9,88.2,100.0,100.0,4,1,2,92.5,A,2026-04-06,2027-04-06,ISSUED,0.9295,1
297,1297,CERT-2026-00297,Web Development Bootcamp 297,Web Development,35,2025-10-27,2025-11-05,COMPLETED,7,5,1,1,0.71,3.8,1.0,0.92,100.0,100.0,68.7,92.2,12,2,4,94.4,A,2025-11-12,2026-11-12,ISSUED,0.8599,1
299,1299,CERT-2026-00299,UI/UX Bootcamp 299,UI/UX,27,2026-03-29,2026-04-05,COMPLETED,12,10,1,1,0.82,5.0,0.76,0.88,39.3,52.5,79.0,52.3,6,2,1,55.6,F,,,REVOKED,0.1005,0
302,1302,CERT-2026-00302,Web Development Bootcamp 302,Web Development,20,2025-12-27,2026-01-01,COMPLETED,7,2,3,2,0.3,3.0,0.72,0.85,59.3,45.7,25.6,42.2,10,1,2,47.9,F,,,REVOKED,0.0644,0
304,1304,CERT-2026-00304,UI/UX Bootcamp 304,UI/UX,29,2026-03-15,2026-03-22,COMPLETED,10,6,3,1,0.6,4.3,0.85,0.9,60.7,68.1,80.0,61.9,5,2,4,68.8,D,,,PENDING,0.6968,0
305,1305,CERT-2026-00305,Data Science Bootcamp 305,Data Science,57,2025-11-04,2025-11-18,COMPLETED,7,7,0,0,1.0,4.7,1.0,0.92,69.5,89.1,100.0,86.5,5,0,1,87.0,B,2025-12-08,2026-12-08,ISSUED,0.9446,1
306,1306,CERT-2026-00306,Web Development Bootcamp 306,Web Development,44,2026-02-24,2026-03-07,COMPLETED,8,7,1,0,0.82,4.5,0.84,0.91,58.9,54.3,74.7,57.9,8,0,1,61.7,D,,,PENDING,0.0555,0
307,1307,CERT-2026-00307,Cloud Bootcamp 307,Cloud,58,2025-12-18,2026-01-01,COMPLETED,7,5,1,1,0.71,4.1,0.88,0.85,74.2,90.4,79.8,,6,1,4,79.4,C,,,PENDING,0.6015,0
310,1310,CERT-2026-00310,Web Development Bootcamp 310,Web Development,47,2025-11-02,2025-11-14,COMPLETED,7,5,1,1,0.66,4.3,0.68,0.88,,33.8,33.9,28.7,15,3,0,40.9,F,,,REVOKED,0.1486,0
311,1311,CERT-2026-00311,Cybersecurity Bootcamp 311,Cybersecurity,56,2025-10-27,2025-11-10,COMPLETED,7,6,1,0,0.86,3.8,0.81,0.98,53.7,56.8,65.6,,12,1,1,59.5,F,2025-11-14,2026-11-14,ISSUED,0.6585,1
313,1313,CERT-2026-00313,Cybersecurity Bootcamp 313,Cybersecurity,65,2026-03-22,2026-04-07,COMPLETED,6,2,1,3,0.37,4.2,0.97,0.96,82.7,81.0,69.9,98.5,4,1,4,84.2,B,2026-04-24,2027-04-24,ISSUED,0.8131,1
314,1314,CERT-2026-00314,Web Development Bootcamp 314,Web Development,50,2025-11-10,2025-11-22,COMPLETED,9,8,0,1,0.85,4.5,1.0,0.84,79.5,85.3,63.1,83.9,2,0,0,82.2,B,2025-12-06,2026-12-06,ISSUED,0.884,1
317,1317,CERT-2026-00317,Cybersecurity Bootcamp 317,Cybersecurity,57,2025-10-21,2025-11-04,COMPLETED,7,5,1,1,0.72,,1.0,0.88,83.1,94.4,100.0,88.5,5,3,2,92.3,A,2025-11-17,2026-11-17,ISSUED,0.8662,1
318,1318,CERT-2026-00318,Cybersecurity Bootcamp 318,Cybersecurity,58,2025-10-18,2025-11-01,COMPLETED,7,3,2,2,0.49,3.2,0.68,0.89,49.4,48.9,47.3,55.4,3,2,2,51.7,F,,,REVOKED,0.1525,0
319,1319,CERT-2026-00319,Web Development Bootcamp 319,Web Development,20,2026-03-02,2026-03-07,COMPLETED,5,3,1,1,0.56,4.0,0.86,1.0,53.8,55.0,57.2,61.1,5,0,4,59.1,F,,,PENDING,0.3306,0
321,1321,CERT-2026-00321,Web Development Bootcamp 321,Web Development,47,2025-10-25,2025-11-06,COMPLETED,6,3,2,1,0.5,3.1,0.92,0.94,66.3,73.8,59.3,90.0,3,1,2,74.5,C,2025-11-23,2026-11-23,ISSUED,0.3027,1
324,1324,CERT-2026-00324,Data Science Bootcamp 324,Data Science,62,2026-02-16,2026-03-04,COMPLETED,10,8,1,1,0.76,4.1,1.0,0.93,76.4,93.8,100.0,80.6,0,0,2,89.3,B,2026-03-13,2027-03-13,ISSUED,0.9283,1
328,1328,CERT-2026-00328,Web Development Bootcamp 328,Web Development,42,2026-02-12,2026-02-22,COMPLETED,7,2,3,2,0.26,3.5,0.71,0.89,28.6,50.6,28.6,58.9,3,3,0,46.0,F,,,REVOKED,0.0145,0
329,1329,CERT-2026-00329,Web Development Bootcamp 329,Web Development,39,2025-10-30,2025-11-09,COMPLETED,11,7,1,3,0.61,3.5,1.0,0.89,76.4,80.8,73.2,73.6,11,0,1,79.5,C,2025-11-29,2026-11-29,ISSUED,0.7785,1
334,1334,CERT-2026-00334,Cybersecurity Bootcamp 334,Cybersecurity,64,2026-03-23,2026-04-08,COMPLETED,7,6,0,1,0.83,2.5,0.74,0.87,39.8,39.4,52.5,61.5,6,1,2,48.3,F,,,REVOKED,0.0761,0
335,1335,CERT-2026-00335,Cloud Bootcamp 335,Cloud,41,2026-03-17,2026-03-27,COMPLETED,10,5,2,3,0.53,4.2,1.0,0.91,64.7,100.0,69.8,93.0,4,0,4,86.9,B,2026-04-14,2027-04-14,ISSUED,0.9291,1
336,1336,CERT-2026-00336,Web Development Bootcamp 336,Web Development,41,2026-01-18,2026-01-28,COMPLETED,16,8,3,5,0.47,3.6,0.9,0.93,62.5,86.1,65.6,65.3,15,1,1,75.1,C,,,PENDING,0.5591,0
338,1338,CERT-2026-00338,Cloud Bootcamp 338,Cloud,59,2026-01-03,2026-01-18,COMPLETED,5,5,0,0,0.93,4.2,0.89,1.0,49.9,40.1,42.3,55.5,1,1,0,49.9,F,2026-02-06,2027-02-06,ISSUED,0.1395,1
339,1339,CERT-2026-00339,Web Development Bootcamp 339,Web Development,48,2026-01-10,2026-01-22,COMPLETED,6,4,1,1,0.69,3.8,0.99,0.95,65.6,61.4,77.1,56.5,7,1,1,67.5,D,,,PENDING,0.646,0
340,1340,CERT-2026-00340,Mobile Bootcamp 340,Mobile,44,2025-11-07,2025-11-18,COMPLETED,13,8,3,2,0.61,4.8,1.0,0.99,84.5,96.3,79.6,72.9,3,1,1,88.0,B,2025-12-02,2026-12-02,ISSUED,0.8742,1
346,1346,CERT-2026-00346,UI/UX Bootcamp 346,UI/UX,49,2026-02-06,2026-02-18,COMPLETED,6,3,1,2,0.44,3.9,0.92,0.95,86.8,93.7,67.5,62.9,3,0,2,83.4,B,2026-03-06,2027-03-06,ISSUED,0.7893,1
348,1348,CERT-2026-00348,UI/UX Bootcamp 348,UI/UX,36,2025-11-25,2025-12-04,COMPLETED,9,6,2,1,0.63,5.0,0.84,0.92,84.2,59.7,30.7,66.7,0,2,0,64.6,D,2025-12-16,2026-12-16,ISSUED,0.5237,1
353,1353,CERT-2026-00353,Cybersecurity Bootcamp 353,Cybersecurity,66,2025-11-18,2025-12-04,COMPLETED,8,8,0,0,0.98,4.2,1.0,1.0,100.0,93.4,98.3,100.0,7,1,4,97.3,A,2025-12-11,2026-12-11,ISSUED,0.9868,1
355,1355,CERT-2026-00355,Web Development Bootcamp 355,Web Development,46,2025-12-06,2025-12-18,COMPLETED,9,6,1,2,0.63,3.5,0.73,0.91,49.8,59.0,42.5,50.9,1,4,0,54.8,F,,,REVOKED,0.123,0
356,1356,CERT-2026-00356,Web Development Bootcamp 356,Web Development,51,2025-10-23,2025-11-05,COMPLETED,9,7,1,1,0.8,4.8,0.66,0.82,34.1,37.5,61.1,,8,2,1,45.7,F,,,REVOKED,0.0614,0
357,1357,CERT-2026-00357,Web Development Bootcamp 357,Web Development,48,2026-02-07,2026-02-19,COMPLETED,6,3,1,2,0.43,3.7,0.71,0.95,52.8,67.6,28.7,36.1,4,3,1,54.2,F,,,REVOKED,0.0747,0
358,1358,CERT-2026-00358,Web Development Bootcamp 358,Web Development,56,2026-01-25,2026-02-08,COMPLETED,10,6,2,2,0.64,3.9,0.6,0.83,43.3,61.2,39.3,42.7,0,3,1,51.1,F,,,REVOKED,0.0319,0
