training_id,client_id,certificate_number,training_title,category,duration_hours,training_duration_days,start_date,end_date,cancel_date,training_status,review_count,approved_review_count,rejected_review_count,pending_review_count,approved_review_ratio,avg_review_rating,attendance_rate,completion_rate,assignment_avg,exam_score,engagement_score,practice_quiz_avg,days_until_exam,missed_sessions,prior_certifications,performance_index,engagement_index,certificate_score,grade,issue_date,expiry_date,certificate_status,issue_probability,is_issued
303,1303,CERT-2026-00303,Cybersecurity Bootcamp 303,Cybersecurity,46,12,2025-10-30,2025-11-06,2025-11-06,CANCELLED,4,2,1,1,0.58,4.0,0.85,0.41,65.1,,46.9,75.4,17,2,1,62.7,71.5,61.3,D,,,REVOKED,0.0,0
304,1304,CERT-2026-00304,Mobile Bootcamp 304,Mobile,33,8,2024-10-15,2024-10-23,,COMPLETED,10,7,1,2,0.74,4.2,0.77,0.85,42.3,50.6,58.0,43.2,0,1,1,46.3,73.4,50.6,F,,,REVOKED,0.1516,0
305,1305,CERT-2026-00305,Cloud Bootcamp 305,Cloud,61,15,2026-04-24,2026-05-09,,UPCOMING,6,5,0,1,0.82,4.4,1.0,0.07,,,85.5,,29,1,3,55.6,93.3,62.5,D,,,PENDING,0.0,0
306,1306,CERT-2026-00306,Web Development Bootcamp 306,Web Development,53,13,2024-09-23,2024-10-06,,COMPLETED,8,3,1,4,0.35,2.7,0.86,0.98,60.3,80.1,83.7,61.7,0,2,0,69.6,84.8,73.7,C,,,PENDING,0.3188,0
307,1307,CERT-2026-00307,Cloud Bootcamp 307,Cloud,54,14,2025-10-25,2025-11-08,,COMPLETED,5,3,1,1,0.68,4.9,0.96,0.91,82.2,80.2,72.6,96.8,0,0,3,85.0,88.6,83.4,B,,,PENDING,0.8611,0
308,1308,CERT-2026-00308,Mobile Bootcamp 308,Mobile,16,4,2024-12-08,2024-12-12,,COMPLETED,6,4,1,1,0.64,4.0,0.82,0.94,55.4,76.0,43.3,,0,1,1,65.3,70.5,65.1,D,,,PENDING,0.1528,0
309,1309,CERT-2026-00309,Data Science Bootcamp 309,Data Science,51,13,2025-09-10,2025-09-23,,COMPLETED,8,7,1,0,0.82,,0.65,0.93,46.6,76.0,50.5,55.5,0,2,2,62.1,63.7,62.1,D,2025-09-29,2026-09-29,ISSUED,0.3794,1
310,1310,CERT-2026-00310,UI/UX Bootcamp 310,UI/UX,14,4,2024-09-06,2024-09-10,,COMPLETED,10,7,2,1,0.69,4.1,1.0,0.85,80.3,63.7,100.0,62.2,0,0,2,68.3,100.0,74.7,C,2024-09-21,2025-09-21,EXPIRED,0.4017,1
311,1311,CERT-2026-00311,UI/UX Bootcamp 311,UI/UX,33,8,2025-06-19,2025-06-27,,COMPLETED,12,2,4,6,0.17,3.0,0.7,0.87,53.8,58.6,45.4,52.6,0,2,0,55.7,64.2,55.9,F,,,PENDING,0.0985,0
312,1312,CERT-2026-00312,Mobile Bootcamp 312,Mobile,29,7,2025-10-11,2025-10-18,,COMPLETED,12,9,1,2,0.74,4.3,0.97,0.9,70.6,81.2,85.3,54.0,0,0,1,71.2,93.5,76.6,C,2025-10-31,2026-10-31,ISSUED,0.5484,1
313,1313,CERT-2026-00313,UI/UX Bootcamp 313,UI/UX,41,10,2025-09-26,2025-10-05,2025-10-05,CANCELLED,2,1,0,1,0.51,3.4,0.97,0.21,69.5,,69.4,66.0,8,0,0,61.6,87.9,64.7,D,,,REVOKED,0.0,0
314,1314,CERT-2026-00314,Data Science Bootcamp 314,Data Science,35,9,2025-11-27,2025-12-06,,COMPLETED,16,9,2,5,0.56,3.8,1.0,1.0,86.3,100.0,100.0,93.8,0,1,3,94.3,98.4,95.8,A,2025-12-10,2026-12-10,ISSUED,0.8824,1
315,1315,CERT-2026-00315,Cloud Bootcamp 315,Cloud,41,10,2026-04-10,2026-04-21,,ONGOING,9,5,3,1,0.53,3.5,0.76,0.56,39.8,,44.6,54.0,14,1,1,49.7,68.2,51.2,F,,,PENDING,0.0,0
316,1316,CERT-2026-00316,Web Development Bootcamp 316,Web Development,40,10,2025-02-17,2025-02-27,,COMPLETED,12,9,1,2,0.74,4.3,0.88,0.93,65.6,70.0,78.4,77.3,0,2,1,70.5,83.8,72.4,C,,,PENDING,0.4188,0
317,1317,CERT-2026-00317,UI/UX Bootcamp 317,UI/UX,28,7,2026-05-17,2026-05-24,,UPCOMING,4,2,1,1,0.59,3.2,0.65,0.05,,,33.7,,22,1,1,55.6,59.4,53.5,F,,,PENDING,0.0,0
318,1318,CERT-2026-00318,UI/UX Bootcamp 318,UI/UX,35,9,2026-04-10,2026-04-24,,ONGOING,4,3,0,1,0.64,4.4,1.0,0.63,86.9,,100.0,84.1,8,2,0,71.4,96.8,75.3,C,,,PENDING,0.0,0
319,1319,CERT-2026-00319,Data Science Bootcamp 319,Data Science,64,16,2025-10-30,2025-11-15,,COMPLETED,6,3,2,1,0.46,3.5,0.93,0.99,68.9,74.8,45.8,58.2,0,1,3,68.9,76.3,69.0,D,,,PENDING,0.4884,0
320,1320,CERT-2026-00320,UI/UX Bootcamp 320,UI/UX,23,6,2025-12-30,2026-01-05,,COMPLETED,11,5,2,4,0.42,3.5,0.63,0.83,48.5,58.8,69.3,51.9,0,3,0,54.0,67.8,57.0,F,,,PENDING,0.1597,0
321,1321,CERT-2026-00321,Cloud Bootcamp 321,Cloud,56,14,2025-03-11,2025-03-25,,COMPLETED,9,8,0,1,0.87,4.3,0.95,0.97,64.3,67.8,100.0,58.5,0,1,1,64.4,96.2,71.7,C,,,PENDING,0.6982,0
322,1322,CERT-2026-00322,Web Development Bootcamp 322,Web Development,47,12,2025-03-15,2025-03-27,,COMPLETED,14,11,1,2,0.78,4.3,0.82,0.9,57.1,63.4,77.3,69.8,0,2,1,63.1,80.8,65.9,D,,,PENDING,0.45,0
323,1323,CERT-2026-00323,Mobile Bootcamp 323,Mobile,21,5,2024-10-25,2024-10-30,,COMPLETED,11,6,2,3,0.5,3.0,0.83,0.94,58.6,55.3,60.5,50.3,0,0,0,55.0,78.5,58.2,F,,,PENDING,0.2291,0
324,1324,CERT-2026-00324,Web Development Bootcamp 324,Web Development,53,13,2026-04-22,2026-05-05,,UPCOMING,0,0,0,0,0.0,,0.86,0.07,,,60.2,,26,2,0,55.6,76.6,58.3,F,,,PENDING,0.0,0
325,1325,CERT-2026-00325,Mobile Bootcamp 325,Mobile,36,9,2025-06-26,2025-07-05,,COMPLETED,10,5,2,3,0.47,3.4,0.75,1.0,60.2,58.5,40.5,57.6,0,1,0,58.8,66.3,57.9,F,,,PENDING,0.2911,0
326,1326,CERT-2026-00326,Mobile Bootcamp 326,Mobile,46,12,2025-09-04,2025-09-16,,COMPLETED,10,5,3,2,0.51,4.0,1.0,0.93,94.7,100.0,98.8,100.0,0,0,3,98.4,99.6,98.6,A,2025-10-05,2026-10-05,ISSUED,0.8345,1
327,1327,CERT-2026-00327,Cybersecurity Bootcamp 327,Cybersecurity,40,10,2026-05-20,2026-05-30,,UPCOMING,4,3,0,1,0.68,3.8,0.69,0.06,,,14.1,,12,2,0,55.6,52.8,51.5,F,,,PENDING,0.0,0
328,1328,CERT-2026-00328,Cybersecurity Bootcamp 328,Cybersecurity,59,15,2025-09-13,2025-09-27,2025-09-27,CANCELLED,2,1,0,1,0.71,3.0,0.71,0.18,39.8,,36.6,48.5,21,1,1,48.4,63.2,49.1,F,,,REVOKED,0.0,0
329,1329,CERT-2026-00329,UI/UX Bootcamp 329,UI/UX,30,8,2026-04-12,2026-04-21,,ONGOING,4,4,0,0,0.95,3.8,0.9,0.67,81.9,,100.0,61.8,25,1,0,64.3,93.9,70.2,C,,,PENDING,0.0,0
330,1330,CERT-2026-00330,Web Development Bootcamp 330,Web Development,41,10,2026-04-11,2026-04-24,,ONGOING,3,2,1,0,0.64,3.8,0.93,0.6,54.8,,70.9,66.1,16,0,2,57.3,86.7,61.0,D,,,PENDING,0.0,0
331,1331,CERT-2026-00331,Mobile Bootcamp 331,Mobile,39,10,2025-12-14,2025-12-24,,COMPLETED,12,6,2,4,0.47,3.7,1.0,0.87,98.0,96.2,100.0,87.9,0,1,1,94.7,98.4,96.2,A,,,PENDING,0.7623,0
332,1332,CERT-2026-00332,Mobile Bootcamp 332,Mobile,68,17,2025-11-06,2025-11-12,2025-11-12,CANCELLED,3,2,1,0,0.63,3.8,0.71,0.24,37.1,,40.4,,30,2,0,49.9,62.9,50.2,F,,,REVOKED,0.0,0
333,1333,CERT-2026-00333,Data Science Bootcamp 333,Data Science,61,15,2024-10-23,2024-11-07,,COMPLETED,11,3,3,5,0.28,2.7,0.69,0.94,41.6,50.1,32.8,43.4,0,0,3,45.9,62.5,46.6,F,,,REVOKED,0.2533,0
334,1334,CERT-2026-00334,Web Development Bootcamp 334,Web Development,51,13,2026-04-07,2026-04-22,,ONGOING,3,1,1,1,0.34,3.9,0.94,0.58,80.6,,72.8,72.6,14,0,0,66.6,87.8,68.4,D,,,PENDING,0.0,0
335,1335,CERT-2026-00335,Cybersecurity Bootcamp 335,Cybersecurity,65,16,2025-10-07,2025-10-23,,COMPLETED,9,4,3,2,0.44,3.3,0.78,0.86,64.6,61.7,37.8,48.7,0,2,2,59.3,65.1,59.0,F,2025-11-18,2026-11-18,ISSUED,0.2224,1
336,1336,CERT-2026-00336,Cybersecurity Bootcamp 336,Cybersecurity,51,13,2026-05-05,2026-05-18,,UPCOMING,5,2,1,2,0.47,3.0,0.78,0.04,,,61.0,,30,2,3,55.6,73.2,57.8,F,,,PENDING,0.0,0
337,1337,CERT-2026-00337,Cloud Bootcamp 337,Cloud,54,14,2025-09-20,2025-10-04,,COMPLETED,5,3,1,1,0.65,4.1,0.9,0.94,,76.4,42.7,73.4,0,1,1,69.5,73.8,68.1,D,2025-10-19,2026-10-19,ISSUED,0.3403,1
338,1338,CERT-2026-00338,Cybersecurity Bootcamp 338,Cybersecurity,55,14,2025-11-30,2025-12-14,,COMPLETED,5,3,1,1,0.66,4.3,0.87,0.98,87.3,97.4,66.5,76.5,0,0,0,89.1,82.4,87.5,B,,,PENDING,0.5593,0
339,1339,CERT-2026-00339,Data Science Bootcamp 339,Data Science,53,13,2025-10-27,2025-11-02,2025-11-02,CANCELLED,6,4,1,1,0.59,4.5,0.86,0.34,64.6,,77.6,73.0,23,1,5,61.9,84.3,64.6,D,,,REVOKED,0.0,0
340,1340,CERT-2026-00340,Data Science Bootcamp 340,Data Science,62,16,2026-04-05,2026-05-01,,ONGOING,3,2,0,1,0.58,3.7,0.71,0.29,73.2,,55.8,40.0,9,2,1,56.3,68.3,58.2,F,,,PENDING,0.0,0
341,1341,CERT-2026-00341,Cloud Bootcamp 341,Cloud,42,10,2025-04-21,2025-05-01,,COMPLETED,7,6,0,1,0.9,4.6,0.65,0.86,58.8,77.5,66.3,58.3,0,1,0,67.1,70.9,68.0,D,2025-05-24,2026-05-24,ISSUED,0.6575,1
342,1342,CERT-2026-00342,Web Development Bootcamp 342,Web Development,42,10,2026-04-08,2026-04-25,,ONGOING,3,2,0,1,0.65,4.1,0.81,0.59,72.4,,59.1,74.9,13,4,6,64.7,70.7,64.1,D,,,PENDING,0.0,0
343,1343,CERT-2026-00343,Web Development Bootcamp 343,Web Development,35,9,2024-07-27,2024-08-05,,COMPLETED,11,8,1,2,0.74,4.4,0.9,0.95,45.2,80.3,77.6,61.3,0,1,2,65.0,86.1,69.7,D,2024-09-02,2025-09-02,EXPIRED,0.3373,1
344,1344,CERT-2026-00344,Cybersecurity Bootcamp 344,Cybersecurity,55,14,2026-04-05,2026-05-02,,ONGOING,1,1,0,0,0.67,4.2,1.0,0.45,94.3,,89.2,91.5,6,0,2,75.5,96.2,76.8,C,,,PENDING,0.0,0
345,1345,CERT-2026-00345,Cloud Bootcamp 345,Cloud,51,13,2024-12-06,2024-12-19,,COMPLETED,7,3,2,2,0.45,,0.64,0.84,25.0,39.0,42.0,31.8,0,2,0,33.0,60.3,37.0,F,2025-01-08,2026-01-08,EXPIRED,0.0318,1
346,1346,CERT-2026-00346,Web Development Bootcamp 346,Web Development,57,14,2026-04-11,2026-04-23,,ONGOING,1,0,0,1,0.49,4.3,0.68,0.53,33.5,,39.2,43.9,4,2,1,45.3,61.1,47.0,F,,,PENDING,0.0,0
347,1347,CERT-2026-00347,Data Science Bootcamp 347,Data Science,52,13,2024-08-13,2024-08-26,,COMPLETED,13,9,1,3,0.72,4.8,0.95,0.81,84.3,83.8,100.0,65.8,0,1,2,79.4,96.2,84.2,B,2024-08-29,2025-08-29,EXPIRED,0.4949,1
348,1348,CERT-2026-00348,Cybersecurity Bootcamp 348,Cybersecurity,26,6,2024-11-20,2024-11-26,,COMPLETED,6,4,1,1,0.73,4.4,0.95,0.87,69.8,76.1,66.9,65.3,0,1,3,71.5,84.6,73.5,C,2024-12-09,2025-12-09,EXPIRED,0.709,1
349,1349,CERT-2026-00349,Web Development Bootcamp 349,Web Development,40,10,2026-01-21,2026-01-31,,COMPLETED,7,2,1,4,0.35,3.3,0.6,0.92,42.6,42.7,34.7,49.1,0,3,1,44.3,54.3,44.0,F,,,REVOKED,0.0216,0
350,1350,CERT-2026-00350,Cloud Bootcamp 350,Cloud,43,11,2025-11-04,2025-11-12,2025-11-12,CANCELLED,8,2,3,3,0.29,2.5,0.66,0.0,20.0,,58.0,19.8,5,0,0,35.2,70.0,42.5,F,,,REVOKED,0.0,0
351,1351,CERT-2026-00351,Data Science Bootcamp 351,Data Science,49,12,2024-12-01,2024-12-13,,COMPLETED,20,12,2,6,0.6,3.9,0.93,0.95,68.2,68.0,75.3,89.4,0,2,4,73.4,85.0,73.9,C,2024-12-16,2025-12-16,EXPIRED,0.5581,1
352,1352,CERT-2026-00352,Cybersecurity Bootcamp 352,Cybersecurity,32,8,2026-02-12,2026-02-16,2026-02-16,CANCELLED,8,8,0,0,0.96,4.3,0.89,0.23,62.4,,69.3,82.9,24,1,3,63.7,82.7,64.7,D,,,REVOKED,0.0,0
353,1353,CERT-2026-00353,Cybersecurity Bootcamp 353,Cybersecurity,65,16,2025-05-18,2025-06-03,,COMPLETED,7,5,1,1,0.68,3.7,0.96,0.97,83.0,94.4,100.0,67.9,0,0,2,84.4,98.2,88.8,B,2025-06-13,2026-06-13,ISSUED,0.8324,1
354,1354,CERT-2026-00354,Cybersecurity Bootcamp 354,Cybersecurity,59,15,2025-08-24,2025-09-08,,COMPLETED,14,6,5,3,0.44,3.1,0.82,0.93,75.8,74.4,61.4,82.4,0,0,0,76.8,78.4,74.9,C,2025-09-22,2026-09-22,ISSUED,0.4949,1
355,1355,CERT-2026-00355,Cloud Bootcamp 355,Cloud,50,12,2025-05-15,2025-05-27,,COMPLETED,5,3,1,1,0.53,4.5,0.93,0.91,82.4,77.8,52.7,80.2,0,1,1,79.8,78.7,77.4,C,,,PENDING,0.4026,0
356,1356,CERT-2026-00356,Cybersecurity Bootcamp 356,Cybersecurity,50,12,2025-02-09,2025-02-21,,COMPLETED,11,7,2,2,0.6,3.7,0.75,1.0,56.6,61.0,85.3,48.5,0,3,2,56.6,78.8,62.2,D,2025-03-07,2026-03-07,EXPIRED,0.4163,1
357,1357,CERT-2026-00357,Web Development Bootcamp 357,Web Development,32,8,2026-03-17,2026-03-24,2026-03-24,CANCELLED,3,2,0,1,0.63,3.8,0.92,0.0,53.4,,47.4,76.4,17,1,2,59.4,76.4,59.2,F,,,REVOKED,0.0,0
358,1358,CERT-2026-00358,Data Science Bootcamp 358,Data Science,47,12,2025-03-28,2025-04-09,,COMPLETED,5,2,2,1,0.44,3.6,0.92,0.9,58.6,54.3,89.4,61.9,0,1,0,57.5,91.1,63.6,D,,,PENDING,0.1619,0
359,1359,CERT-2026-00359,Web Development Bootcamp 359,Web Development,26,6,2026-04-09,2026-04-26,,ONGOING,5,3,1,1,0.63,4.9,1.0,0.46,57.3,,96.1,83.3,7,2,5,62.3,95.4,67.6,D,,,PENDING,0.0,0
360,1360,CERT-2026-00360,UI/UX Bootcamp 360,UI/UX,37,9,2026-05-01,2026-05-10,,UPCOMING,6,3,2,1,0.46,,1.0,0.08,,,100.0,,5,1,1,55.6,98.4,64.2,D,,,PENDING,0.0,0
361,1361,CERT-2026-00361,Mobile Bootcamp 361,Mobile,32,8,2026-05-30,2026-06-07,,UPCOMING,2,1,0,1,0.46,4.2,0.88,0.06,,,58.0,,16,1,2,55.6,78.3,58.2,F,,,PENDING,0.0,0
362,1362,CERT-2026-00362,Mobile Bootcamp 362,Mobile,36,9,2026-01-04,2026-01-04,2026-01-04,CANCELLED,5,4,0,1,0.73,3.4,0.72,0.23,20.2,,79.4,33.5,21,1,0,38.7,78.6,47.5,F,,,REVOKED,0.0,0
363,1363,CERT-2026-00363,Cloud Bootcamp 363,Cloud,31,8,2026-04-09,2026-04-28,,ONGOING,4,2,1,1,0.58,4.0,0.7,0.64,25.5,,55.9,44.7,20,2,0,43.1,67.9,47.4,F,,,PENDING,0.0,0
364,1364,CERT-2026-00364,Data Science Bootcamp 364,Data Science,75,19,2025-06-01,2025-06-20,,COMPLETED,11,7,2,2,0.62,4.3,0.98,0.86,82.5,93.2,98.4,,0,0,4,81.2,98.5,86.7,B,,,PENDING,0.6246,0
365,1365,CERT-2026-00365,Web Development Bootcamp 365,Web Development,42,10,2024-11-25,2024-12-05,,COMPLETED,10,9,0,1,0.94,3.9,0.72,0.96,54.5,62.1,74.0,47.5,0,2,1,56.2,75.1,60.5,D,,,PENDING,0.3655,0
366,1366,CERT-2026-00366,Web Development Bootcamp 366,Web Development,32,8,2025-01-15,2025-01-23,,COMPLETED,8,7,1,0,0.86,3.8,0.85,0.95,42.8,60.0,74.7,38.5,0,2,1,49.5,81.2,56.6,F,,,REVOKED,0.1687,0
367,1367,CERT-2026-00367,Cybersecurity Bootcamp 367,Cybersecurity,60,15,2026-01-31,2026-02-15,,COMPLETED,16,3,6,7,0.16,2.2,0.83,0.98,28.8,64.7,22.8,46.1,0,1,1,49.3,63.7,49.9,F,,,REVOKED,0.1953,0
368,1368,CERT-2026-00368,Data Science Bootcamp 368,Data Science,62,16,2026-04-25,2026-05-11,,UPCOMING,1,0,1,0,0.49,4.0,0.78,0.04,,,48.7,,41,1,0,55.6,70.5,56.3,F,,,PENDING,0.0,0
369,1369,CERT-2026-00369,UI/UX Bootcamp 369,UI/UX,26,6,2026-04-24,2026-04-30,,UPCOMING,4,2,1,1,0.57,3.6,0.84,0.1,,,92.2,,28,2,1,55.6,86.9,62.0,D,,,PENDING,0.0,0
370,1370,CERT-2026-00370,Cybersecurity Bootcamp 370,Cybersecurity,55,14,2026-03-09,2026-03-23,,COMPLETED,8,4,2,2,0.52,4.3,0.84,1.0,86.1,77.9,85.9,60.6,0,1,1,76.0,86.3,78.9,C,,,PENDING,0.6304,0
371,1371,CERT-2026-00371,Cybersecurity Bootcamp 371,Cybersecurity,44,11,2024-08-05,2024-08-16,,COMPLETED,8,6,1,1,0.7,4.0,0.67,1.0,62.1,70.7,48.7,57.6,0,2,1,64.8,64.0,63.9,D,2024-09-08,2025-09-08,EXPIRED,0.5446,1
372,1372,CERT-2026-00372,Cloud Bootcamp 372,Cloud,46,12,2026-05-16,2026-05-28,,UPCOMING,3,2,0,1,0.79,4.1,1.0,0.05,,,84.5,,24,0,3,55.6,94.6,62.4,D,,,PENDING,0.0,0
373,1373,CERT-2026-00373,Cloud Bootcamp 373,Cloud,37,9,2025-11-27,2025-11-30,2025-11-30,CANCELLED,5,2,2,1,0.41,3.8,0.89,0.21,60.6,,86.2,57.6,13,2,1,56.9,87.0,62.8,D,,,REVOKED,0.0,0
374,1374,CERT-2026-00374,Cybersecurity Bootcamp 374,Cybersecurity,65,16,2024-10-05,2024-10-21,,COMPLETED,5,3,1,1,0.61,4.5,1.0,0.9,74.5,61.8,94.0,95.5,0,1,3,74.0,96.3,76.5,C,2024-11-06,2025-11-06,EXPIRED,0.563,1
375,1375,CERT-2026-00375,Data Science Bootcamp 375,Data Science,45,11,2025-02-06,2025-02-17,,COMPLETED,10,5,3,2,0.53,3.3,0.95,0.92,100.0,97.2,100.0,73.6,0,2,1,92.1,94.6,94.7,A,2025-02-21,2026-02-21,EXPIRED,0.6914,1
376,1376,CERT-2026-00376,Cybersecurity Bootcamp 376,Cybersecurity,38,10,2026-02-21,2026-03-02,2026-03-02,CANCELLED,3,1,1,1,0.38,4.3,0.84,0.29,61.4,,46.7,,12,2,0,57.2,70.9,57.9,F,,,REVOKED,0.0,0
377,1377,CERT-2026-00377,Data Science Bootcamp 377,Data Science,58,14,2025-05-18,2025-06-01,,COMPLETED,8,1,4,3,0.11,2.8,0.51,0.92,45.0,50.9,20.7,37.8,0,2,1,45.9,47.0,44.0,F,,,REVOKED,0.0379,0
378,1378,CERT-2026-00378,Cybersecurity Bootcamp 378,Cybersecurity,70,18,2024-08-24,2024-09-11,,COMPLETED,8,4,2,2,0.51,3.8,0.81,0.99,45.3,48.4,35.0,49.0,0,1,0,47.6,67.1,48.7,F,,,REVOKED,0.1177,0
379,1379,CERT-2026-00379,UI/UX Bootcamp 379,UI/UX,30,8,2025-04-24,2025-05-02,,COMPLETED,8,3,2,3,0.41,4.2,1.0,0.96,100.0,94.8,92.9,92.3,0,0,1,95.7,97.5,95.9,A,2025-05-25,2026-05-25,ISSUED,0.8909,1
380,1380,CERT-2026-00380,Web Development Bootcamp 380,Web Development,41,10,2026-05-08,2026-05-18,,UPCOMING,4,3,1,0,0.68,3.6,0.98,0.12,,,96.4,,20,3,2,55.6,93.0,63.6,D,,,PENDING,0.0,0
381,1381,CERT-2026-00381,UI/UX Bootcamp 381,UI/UX,21,5,2025-12-12,2025-12-17,,COMPLETED,8,5,1,2,0.65,4.1,1.0,0.91,75.6,79.9,81.9,58.4,0,2,0,73.2,90.5,77.7,C,,,PENDING,0.4484,0
382,1382,CERT-2026-00382,Cloud Bootcamp 382,Cloud,45,11,2026-05-18,2026-05-29,,UPCOMING,6,4,1,1,0.73,3.7,0.88,0.02,,,73.0,,19,1,2,55.6,83.6,60.0,D,,,PENDING,0.0,0
383,1383,CERT-2026-00383,Data Science Bootcamp 383,Data Science,59,15,2025-02-24,2025-03-11,,COMPLETED,9,3,3,3,0.37,3.3,1.0,1.0,70.8,63.7,68.0,41.1,0,1,0,60.2,87.2,65.7,D,2025-03-18,2026-03-18,EXPIRED,0.3816,1
384,1384,CERT-2026-00384,Web Development Bootcamp 384,Web Development,45,11,2025-08-01,2025-08-12,,COMPLETED,17,13,1,3,0.78,4.1,0.96,0.89,77.4,81.2,96.1,76.9,0,2,1,79.0,93.6,82.7,B,2025-08-19,2026-08-19,ISSUED,0.5962,1
385,1385,CERT-2026-00385,Data Science Bootcamp 385,Data Science,58,14,2025-03-19,2025-04-02,,COMPLETED,7,4,2,1,0.62,3.0,0.63,0.85,25.0,24.5,47.1,22.2,0,2,0,24.1,61.6,30.1,F,,,REVOKED,0.1,0
386,1386,CERT-2026-00386,Mobile Bootcamp 386,Mobile,34,8,2024-07-30,2024-08-07,,COMPLETED,9,6,1,2,0.71,4.5,1.0,0.96,81.4,100.0,67.5,91.2,0,0,2,92.2,88.6,90.4,A,,,PENDING,0.8332,0
387,1387,CERT-2026-00387,Web Development Bootcamp 387,Web Development,44,11,2025-11-22,2025-11-29,2025-11-29,CANCELLED,1,0,0,1,0.46,3.5,0.86,0.22,70.2,,41.6,71.4,17,1,1,63.2,71.7,61.4,D,,,REVOKED,0.0,0
388,1388,CERT-2026-00388,Mobile Bootcamp 388,Mobile,44,11,2026-01-10,2026-01-21,,COMPLETED,6,1,3,2,0.11,3.6,0.93,1.0,60.2,74.6,67.9,71.6,0,1,2,69.5,84.0,71.4,C,2026-02-01,2027-02-01,ISSUED,0.376,1
389,1389,CERT-2026-00389,Web Development Bootcamp 389,Web Development,60,15,2025-05-14,2025-05-29,,COMPLETED,13,11,1,1,0.84,4.4,0.98,0.94,66.7,79.6,62.6,64.6,0,2,3,72.0,82.8,73.8,C,2025-06-19,2026-06-19,ISSUED,0.6201,1
390,1390,CERT-2026-00390,Cloud Bootcamp 390,Cloud,57,14,2025-12-30,2026-01-13,,COMPLETED,8,4,2,2,0.52,4.5,0.68,0.92,37.5,70.7,14.3,45.7,0,2,2,54.5,52.4,52.2,F,2026-01-30,2027-01-30,ISSUED,0.3229,1
391,1391,CERT-2026-00391,Data Science Bootcamp 391,Data Science,54,14,2026-04-12,2026-04-30,,ONGOING,7,7,0,0,0.93,4.7,0.74,0.65,38.7,,32.2,47.4,4,2,0,47.8,61.4,48.4,F,,,PENDING,0.0,0
392,1392,CERT-2026-00392,Cybersecurity Bootcamp 392,Cybersecurity,44,11,2026-03-17,2026-03-28,,COMPLETED,14,13,1,0,0.94,5.0,1.0,0.97,88.8,86.1,100.0,82.8,0,0,1,86.1,100.0,89.1,B,2026-04-10,2027-04-10,ISSUED,0.8542,1
393,1393,CERT-2026-00393,Data Science Bootcamp 393,Data Science,60,15,2026-04-05,2026-04-22,,ONGOING,6,4,1,1,0.66,3.7,0.62,0.51,57.1,,23.7,57.4,12,1,2,55.8,54.6,52.2,F,,,PENDING,0.0,0
394,1394,CERT-2026-00394,Cybersecurity Bootcamp 394,Cybersecurity,59,15,2026-04-21,2026-05-06,,UPCOMING,3,2,1,0,0.59,3.6,0.79,0.05,,,42.1,,16,1,0,55.6,68.7,55.6,F,,,PENDING,0.0,0
395,1395,CERT-2026-00395,Web Development Bootcamp 395,Web Development,39,10,2026-03-22,2026-04-01,,COMPLETED,10,4,4,2,0.4,,0.88,0.86,76.5,55.6,81.1,,0,2,3,62.5,84.8,66.6,D,,,PENDING,0.5488,0
396,1396,CERT-2026-00396,Data Science Bootcamp 396,Data Science,64,16,2026-04-06,2026-05-01,,ONGOING,2,2,0,0,1.0,4.5,0.86,0.58,45.6,,100.0,,13,3,0,52.5,88.9,60.6,D,,,PENDING,0.0,0
397,1397,CERT-2026-00397,Data Science Bootcamp 397,Data Science,56,14,2025-07-16,2025-07-30,,COMPLETED,13,5,4,4,0.36,3.3,0.86,0.95,63.1,91.4,57.8,78.8,0,4,0,79.8,72.5,78.4,C,,,PENDING,0.4105,0
398,1398,CERT-2026-00398,Cybersecurity Bootcamp 398,Cybersecurity,59,15,2024-10-07,2024-10-22,,COMPLETED,8,5,1,2,0.65,3.5,0.89,0.93,70.7,66.1,87.8,73.1,0,1,0,69.2,89.2,72.6,C,2024-10-28,2025-10-28,EXPIRED,0.5207,1
399,1399,CERT-2026-00399,UI/UX Bootcamp 399,UI/UX,24,6,2026-01-06,2026-01-11,2026-01-11,CANCELLED,2,1,0,1,0.47,4.2,0.87,0.42,82.5,,86.9,73.1,23,4,3,67.3,83.2,70.1,C,,,REVOKED,0.0,0
400,1400,CERT-2026-00400,Mobile Bootcamp 400,Mobile,36,9,2025-08-06,2025-08-15,,COMPLETED,14,7,4,3,0.49,3.4,0.69,1.0,40.0,45.5,49.9,26.4,0,2,0,39.1,65.3,43.9,F,,,REVOKED,0.0893,0
401,1401,CERT-2026-00401,Web Development Bootcamp 401,Web Development,37,9,2025-11-27,2025-12-03,2025-12-03,CANCELLED,7,3,2,2,0.44,3.2,0.8,0.21,43.8,,36.6,41.6,7,0,2,47.8,68.8,49.8,F,,,REVOKED,0.0,0
402,1402,CERT-2026-00402,Cloud Bootcamp 402,Cloud,47,12,2026-04-20,2026-05-02,,UPCOMING,6,3,1,2,0.55,4.0,0.89,0.04,,,60.1,,22,2,1,55.6,77.9,58.6,F,,,PENDING,0.0,0
403,1403,CERT-2026-00403,Web Development Bootcamp 403,Web Development,38,10,2026-04-21,2026-05-01,,UPCOMING,5,2,2,1,0.35,3.4,0.91,0.06,,,69.1,,23,1,1,55.6,83.5,59.8,F,,,PENDING,0.0,0
